,CLM,dataMask,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,index,Latitude,Longitude,Ertr.masse (Nass)(tonne/ha),ErtragNass,et0,rain,cum_rain
count,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0,112391.0
mean,0.0,0.9975442873539696,649.9731829061046,811.5426613340926,1065.6282108887722,1105.4583374113588,1504.8201746581126,2482.7972858147004,2920.9210434999245,3039.010588036408,3106.964481141728,3123.6642413538457,1998.9631865540832,1347.606770115045,75513.72511144131,48.40792668359388,11.712112609546582,7.404204856260732,70.35611834632464,3.3007900027225636,1.98314886837834,126.53893996305679
std,0.0,0.04949448370974888,1318.8801350569383,1403.7484572803503,1359.5625950503088,1444.3005433246863,1427.2629872340437,1276.0447825239883,1278.5582129693523,1281.329944096441,1250.036996925599,1188.5531826854087,727.1514356805369,576.1246806787805,23462.268109867684,0.02339427270908435,0.02539225187675143,2.0068694943691265,9.772282858142944,1.1997043079044085,2.5329801578889652,110.63673215227955
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27151.0,48.37496288,11.664637419999998,0.454,54.66223720830657,0.847,0.0,0.24545454545454548
25%,0.0,1.0,284.0,399.5,616.5,547.5,963.0,1956.0,2215.5,2339.75,2403.0,2464.25,1575.95,932.0,61155.0,48.38388838,11.68542644,6.165,63.15789374053509,2.8214482758620685,0.16363636363636364,32.48965517241379
50%,0.0,1.0,367.5,504.0,771.0,782.75,1205.0,2342.0,2721.0,2863.5,2959.5,3016.25,1964.0,1301.0,76413.0,48.40209114,11.72217915,7.601,67.36600578173935,3.756533333333334,1.1551020408163262,85.38095238095242
75%,0.0,1.0,482.0,666.75,992.5,1080.75,1520.0,2685.5,3426.3333333333335,3549.7916666666665,3626.0,3639.0,2298.5,1607.0,92822.0,48.43257762,11.73170129,8.863999999999999,78.92278979478648,4.343792452830188,2.79795918367347,236.74615384615402
max,0.0,1.0,9151.0,10136.0,10286.0,10850.0,11196.0,11200.0,11004.0,10996.0,10745.0,9496.0,4657.0,4033.0,132654.0,48.4362892,11.74245087,16.81,85.29305566842747,4.851066666666667,8.588095238095237,322.19999999999993
