,CLM,dataMask,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,index,Latitude,Longitude,Ertr.masse (Nass)(tonne/ha),ErtragNass,et0,rain,cum_rain
count,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0,24434.0
mean,0.0,0.9975444053368258,388.1949711467627,529.4266203514229,790.1973895664511,812.368109669586,1215.4796386865296,2275.5774869717065,2763.8316594363046,2880.8047000763963,2954.141516943603,2971.645134512019,2024.1220805707896,1345.0727780278849,75516.40386346894,48.40792606165057,11.71211219912417,7.4042306621920275,70.35674982525278,3.3198534280945715,2.122527889037741,124.64725969382566
std,0.0,0.04949409029801858,142.16425694741025,176.20186629738555,238.18595352772115,338.7051053042439,374.15473536464884,570.3281387195011,829.6545141527259,857.0437914022214,872.9091628512552,874.3573146183285,598.0003603669762,487.53194122693816,23465.262930165653,0.02339425745841833,0.025392117580546034,2.0068568939320164,9.77262926424332,1.0678600656583892,1.3133242489512449,101.8519874102012
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27151.0,48.37496288,11.664637419999998,0.454,54.66223720830657,1.2854953271028038,0.3192592592592593,13.717757009345796
25%,0.0,1.0,308.75,422.525,627.0,549.5,956.5,1925.5,2144.5,2246.5416666666665,2332.0,2383.6666666666665,1714.0,1074.0,61155.0,48.38388838,11.68542644,6.165,63.15789374053509,3.260481481481481,0.979439252336448,35.97037037037038
50%,0.0,1.0,367.0,516.0,797.6666666666666,810.0,1249.0,2407.0,2845.3166666666666,2983.125,3034.9,3060.5,2022.5,1350.0,76413.0,48.40209114,11.72217915,7.601,67.36600578173935,3.8285795454545455,2.243805309734514,91.41590909090918
75%,0.0,1.0,451.0,622.0,935.0,1048.7875,1466.0,2691.0,3443.0,3561.5,3639.0,3650.5,2374.25,1625.0,92835.5,48.43257762,11.73170129,8.863999999999999,78.92278979478648,3.9611396396396397,3.3608108108108126,199.26531531531538
max,0.0,1.0,1644.5,2612.0,2750.0,2762.0,2686.0,4189.0,5050.0,5855.0,5312.0,5211.5,4451.0,4033.0,132654.0,48.4362892,11.74245087,16.81,85.29305566842747,4.263154867256638,3.7090909090909103,282.8442477876104
